Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;16840;124850;Santo André
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;N/A;N/A;21285;126000;Cascavel
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;N/A;N/A;12721;128520;Sorocaba
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;N/A;N/A;11593;128520;Taboão da Serra
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;N/A;N/A;13458;128520;Taboão da Serra
Fiat;Toro;1.3 TURBO 270 FLEX FREEDOM AT6;N/A;N/A;70490;128970;São Paulo
Jeep;Compass;2.0 TD350 TURBO DIESEL LONGITUDE AT9;N/A;N/A;51890;131237;Rio de Janeiro
Toyota;Corolla;2.0 VVT-IE FLEX XEI DIRECT SHIFT;N/A;N/A;53684;138420;Rio de Janeiro
Jeep;Compass;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;47422;141090;Rio de Janeiro
Volkswagen;Taos;1.4 250 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;45000;142260;São Luis
Volkswagen;Taos;1.4 250 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;43290;145640;Canoas
Fiat;Toro;2.0 16V TURBO DIESEL VOLCANO 4WD AT9;N/A;N/A;42606;146910;Natal
Volkswagen;Taos;1.4 250 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;42649;147110;Fortaleza
Peugeot;3008;1.6 16V THP GASOLINA GRIFFE AUTOMÁTICO;N/A;N/A;51078;167160;Contagem
Jeep;Commander;1.3 T270 TURBO FLEX LIMITED AT6;N/A;N/A;65359;168920;Duque de Caxias
Peugeot;3008;1.6 16V THP GASOLINA GRIFFE AUTOMÁTICO;N/A;N/A;59463;171140;São Paulo
Volkswagen;Amarok;3.0 V6 TDI DIESEL COMFORTLINE CD 4MOTION AUTOMÁTICO;N/A;N/A;38422;199460;Goiânia
Volkswagen;Amarok;3.0 V6 TDI DIESEL COMFORTLINE CD 4MOTION AUTOMÁTICO;N/A;N/A;51563;200050;Goiânia
Audi;A3;2.0 40 TFSI MHEV SEDAN PERFORMANCE BLACK S-TRONIC;N/A;N/A;50718;229160;Belo Horizonte
Audi;Q3;2.0 40 TFSI GASOLINA SPORTBACK PERFORMANCE QUATTRO TIPTRONIC;N/A;N/A;43907;291760;Campinas
Audi;Q3;2.0 40 TFSI GASOLINA SPORTBACK PERFORMANCE QUATTRO TIPTRONIC;N/A;N/A;50283;304270;Ribeirão Preto
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;N/A;N/A;75714;52240;Taboão da Serra
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;N/A;N/A;70626;52470;São Paulo
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;N/A;N/A;61702;52510;São Paulo
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;N/A;N/A;61702;52510;São José do Rio Preto
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;N/A;N/A;65356;52790;Contagem
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;N/A;N/A;59747;53050;Americana
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;N/A;N/A;59747;53050;São Paulo
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;N/A;N/A;59747;53050;São Paulo
