Volkswagen;Virtus;1.0 170 TSI AUTOMÁTICO;2023/2023;58527;96440;São Paulo
Volkswagen;Virtus;1.0 170 TSI AUTOMÁTICO;2023/2023;59982;96440;Osasco
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2022/2023;65865;96440;Porto Alegre
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2022/2023;69325;97709;Sorocaba
Fiat;Pulse;1.0 TURBO 200 FLEX AUDACE CVT;2023/2023;51513;98690;Goiânia
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2022/2023;72690;99600;Sorocaba
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2022/2023;64210;101780;Duque de Caxias
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2023/2023;21291;103555;Campo Grande
Nissan;Kicks;1.6 16V FLEXSTART SENSE XTRONIC;2023/2024;40554;103880;Maceió
Nissan;Kicks;1.6 16V FLEXSTART SENSE XTRONIC;2023/2024;45540;103880;Maceió
Nissan;Kicks;1.6 16V FLEXSTART SENSE XTRONIC;2023/2024;50000;103880;São Luis
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2023/2024;64013;104610;Santo André
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2023/2023;57616;105200;Canoas
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2022/2023;53144;105590;Belém
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2023/2023;72228;106090;Santo André
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2023/2024;40308;106850;Porto Alegre
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2022/2023;70463;107310;Ribeirão Preto
Chevrolet;Tracker;1.0 TURBO FLEX LT AUTOMÁTICO;2023/2024;41822;107580;Cuiabá
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2023/2024;55869;108140;Santos
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2023/2024;54685;109240;Rio de Janeiro
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2023/2024;62697;109420;São Paulo
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2023/2024;60000;109700;Americana
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2023/2024;43156;110900;São José do Rio Preto
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2023/2024;51772;110900;Serra
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2023/2024;42583;110900;Cascavel
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2023/2024;28590;110990;Natal
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2023/2024;46378;111150;São Luis
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2023/2024;49441;111150;João Pessoa
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2023/2024;49441;111150;Natal
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2023/2024;51209;113790;Niterói
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2023/2024;41930;113920;Curitiba
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2023/2024;31189;114380;Maceió
Chevrolet;Tracker;1.2 TURBO FLEX PREMIER AUTOMÁTICO;2022/2023;58485;114690;Porto Alegre
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;70575;114810;Santo André
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;65198;115000;São José
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;43444;115010;Rio de Janeiro
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;45934;115010;Rio de Janeiro
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;43770;115010;Americana
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;51000;115260;Salvador
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;52373;115260;Bauru
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;51000;115260;Salvador
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;36545;116080;Rio de Janeiro
